timestamp,voltage,current,power,energy,status,appliance,source
2026-01-01 10:00:00,231.2,0.04,9.3,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:01,229.0,0.001,0.2,1e-07,OFF,LED_Bulb,synthetic
2026-01-01 10:00:02,229.0,0.04,9.1,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:03,228.8,0.039,8.9,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:04,228.8,0.038,8.8,2.4e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:05,231.1,0.041,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:06,230.8,0.039,9.1,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:07,228.9,0.038,8.7,2.4e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:08,229.7,0.038,8.8,2.4e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:09,231.1,0.001,0.2,0.0,OFF,LED_Bulb,synthetic
2026-01-01 10:00:10,228.5,0.038,8.8,2.4e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:11,229.1,0.04,9.1,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:12,229.3,0.042,9.5,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:13,230.8,0.042,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:14,229.8,0.038,8.8,2.4e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:15,228.7,0.038,8.7,2.4e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:16,229.3,0.041,9.5,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:17,228.8,0.04,9.2,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:18,231.3,0.0,0.1,0.0,OFF,LED_Bulb,synthetic
2026-01-01 10:00:19,231.2,0.04,9.1,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:20,228.9,0.042,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:21,229.2,0.04,9.1,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:22,229.4,0.041,9.4,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:23,229.5,0.042,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:24,230.7,0.039,9.1,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:25,229.6,0.039,8.9,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:26,231.2,0.001,0.1,0.0,OFF,LED_Bulb,synthetic
2026-01-01 10:00:27,229.0,0.001,0.2,1e-07,OFF,LED_Bulb,synthetic
2026-01-01 10:00:28,231.4,0.038,8.9,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:29,229.7,0.038,8.8,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:30,230.6,0.041,9.5,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:31,230.7,0.0,0.0,0.0,OFF,LED_Bulb,synthetic
2026-01-01 10:00:32,229.3,0.042,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:33,231.4,0.041,9.4,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:34,231.0,0.039,8.9,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:35,231.5,0.042,9.7,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:36,228.9,0.04,9.2,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:37,230.9,0.04,9.2,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:38,229.4,0.04,9.2,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:39,230.3,0.038,8.8,2.4e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:40,231.1,0.039,9.0,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:41,229.3,0.042,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:42,229.3,0.04,9.1,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:43,229.8,0.038,8.8,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:44,230.8,0.042,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:45,230.2,0.041,9.4,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:46,229.0,0.0,0.1,0.0,OFF,LED_Bulb,synthetic
2026-01-01 10:00:47,229.7,0.04,9.2,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:48,230.5,0.042,9.6,2.7e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:49,231.0,0.04,9.2,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:50,229.8,0.039,9.0,2.5e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:51,230.9,0.04,9.3,2.6e-06,ON,LED_Bulb,synthetic
2026-01-01 10:00:52,228.6,0.041,9.3,2.6e-06,ON,LED_Bulb,synthetic
